threshold,precision,recall,f1,accuracy,TN,FP,FN,TP,FPR,FNR
0.68,0.9322033898305084,0.7746478873239436,0.8461538461538461,0.999530064146244,42484,4,16,55,9.414422895876483e-05,0.22535211267605634
0.69,0.9482758620689655,0.7746478873239436,0.8527131782945736,0.9995535609389319,42485,3,16,55,7.060817171907362e-05,0.22535211267605634
0.7,0.9482758620689655,0.7746478873239436,0.8527131782945736,0.9995535609389319,42485,3,16,55,7.060817171907362e-05,0.22535211267605634
0.71,0.9482758620689655,0.7746478873239436,0.8527131782945736,0.9995535609389319,42485,3,16,55,7.060817171907362e-05,0.22535211267605634
0.72,0.9482758620689655,0.7746478873239436,0.8527131782945736,0.9995535609389319,42485,3,16,55,7.060817171907362e-05,0.22535211267605634
0.73,0.9482758620689655,0.7746478873239436,0.8527131782945736,0.9995535609389319,42485,3,16,55,7.060817171907362e-05,0.22535211267605634
0.74,0.9482758620689655,0.7746478873239436,0.8527131782945736,0.9995535609389319,42485,3,16,55,7.060817171907362e-05,0.22535211267605634
0.75,0.9482758620689655,0.7746478873239436,0.8527131782945736,0.9995535609389319,42485,3,16,55,7.060817171907362e-05,0.22535211267605634
0.76,0.9473684210526315,0.7605633802816901,0.84375,0.999530064146244,42485,3,17,54,7.060817171907362e-05,0.23943661971830985
0.77,0.9642857142857143,0.7605633802816901,0.8503937007874016,0.9995535609389319,42486,2,17,54,4.7072114479382414e-05,0.23943661971830985
0.78,0.9642857142857143,0.7605633802816901,0.8503937007874016,0.9995535609389319,42486,2,17,54,4.7072114479382414e-05,0.23943661971830985
0.79,0.9642857142857143,0.7605633802816901,0.8503937007874016,0.9995535609389319,42486,2,17,54,4.7072114479382414e-05,0.23943661971830985
0.8,0.9642857142857143,0.7605633802816901,0.8503937007874016,0.9995535609389319,42486,2,17,54,4.7072114479382414e-05,0.23943661971830985
0.81,0.9642857142857143,0.7605633802816901,0.8503937007874016,0.9995535609389319,42486,2,17,54,4.7072114479382414e-05,0.23943661971830985
0.82,0.9636363636363636,0.7464788732394366,0.8412698412698413,0.999530064146244,42486,2,18,53,4.7072114479382414e-05,0.2535211267605634
0.83,0.9636363636363636,0.7464788732394366,0.8412698412698413,0.999530064146244,42486,2,18,53,4.7072114479382414e-05,0.2535211267605634
0.84,0.9636363636363636,0.7464788732394366,0.8412698412698413,0.999530064146244,42486,2,18,53,4.7072114479382414e-05,0.2535211267605634
0.85,0.9636363636363636,0.7464788732394366,0.8412698412698413,0.999530064146244,42486,2,18,53,4.7072114479382414e-05,0.2535211267605634
0.86,0.9636363636363636,0.7464788732394366,0.8412698412698413,0.999530064146244,42486,2,18,53,4.7072114479382414e-05,0.2535211267605634
0.87,0.9811320754716981,0.7323943661971831,0.8387096774193549,0.999530064146244,42487,1,19,52,2.3536057239691207e-05,0.2676056338028169
0.88,0.9811320754716981,0.7323943661971831,0.8387096774193549,0.999530064146244,42487,1,19,52,2.3536057239691207e-05,0.2676056338028169
0.89,0.9811320754716981,0.7323943661971831,0.8387096774193549,0.999530064146244,42487,1,19,52,2.3536057239691207e-05,0.2676056338028169
0.9,0.9811320754716981,0.7323943661971831,0.8387096774193549,0.999530064146244,42487,1,19,52,2.3536057239691207e-05,0.2676056338028169
0.91,0.9811320754716981,0.7323943661971831,0.8387096774193549,0.999530064146244,42487,1,19,52,2.3536057239691207e-05,0.2676056338028169
0.92,0.9811320754716981,0.7323943661971831,0.8387096774193549,0.999530064146244,42487,1,19,52,2.3536057239691207e-05,0.2676056338028169
0.93,0.9807692307692307,0.7183098591549296,0.8292682926829268,0.9995065673535563,42487,1,20,51,2.3536057239691207e-05,0.28169014084507044
0.94,0.9807692307692307,0.7183098591549296,0.8292682926829268,0.9995065673535563,42487,1,20,51,2.3536057239691207e-05,0.28169014084507044
0.95,0.9807692307692307,0.7183098591549296,0.8292682926829268,0.9995065673535563,42487,1,20,51,2.3536057239691207e-05,0.28169014084507044
0.96,0.9807692307692307,0.7183098591549296,0.8292682926829268,0.9995065673535563,42487,1,20,51,2.3536057239691207e-05,0.28169014084507044
0.97,0.9807692307692307,0.7183098591549296,0.8292682926829268,0.9995065673535563,42487,1,20,51,2.3536057239691207e-05,0.28169014084507044
0.98,1.0,0.704225352112676,0.8264462809917356,0.9995065673535563,42488,0,21,50,0.0,0.29577464788732394
0.99,1.0,0.704225352112676,0.8264462809917356,0.9995065673535563,42488,0,21,50,0.0,0.29577464788732394
